"X:    " "Y:    " "Z    "
"     -949.748743718593005" "     -989.949748743718601" "        0.001171868575656"
"     -939.698492462311606" "     -989.949748743718601" "        0.001192876297801"
"     -929.648241206030207" "     -989.949748743718601" "        0.001214303596960"
"     -919.597989949748694" "     -989.949748743718601" "        0.001236157969687"
"     -909.547738693467295" "     -989.949748743718601" "        0.001258446931381"
"     -899.497487437185896" "     -989.949748743718601" "        0.001281178006048"
"     -889.447236180904497" "     -989.949748743718601" "        0.001304358715189"
"     -879.396984924623098" "     -989.949748743718601" "        0.001327996565756"
"     -869.346733668341699" "     -989.949748743718601" "        0.001352099037149"
"     -859.296482412060300" "     -989.949748743718601" "        0.001376673567172"
"     -849.246231155778901" "     -989.949748743718601" "        0.001401727536914"
"     -839.195979899497502" "     -989.949748743718601" "        0.001427268254498"
"     -829.145728643216103" "     -989.949748743718601" "        0.001453302937626"
"     -819.095477386934590" "     -989.949748743718601" "        0.001479838694886"
"     -809.045226130653191" "     -989.949748743718601" "        0.001506882505746"
"     -798.994974874371792" "     -989.949748743718601" "        0.001534441199181"
"     -788.944723618090393" "     -989.949748743718601" "        0.001562521430881"
"     -778.894472361808994" "     -989.949748743718601" "        0.001591129658969"
"     -768.844221105527595" "     -989.949748743718601" "        0.001620272118187"
"     -758.793969849246196" "     -989.949748743718601" "        0.001649954792479"
"     -748.743718592964797" "     -989.949748743718601" "        0.001680183385928"
"     -738.693467336683398" "     -989.949748743718601" "        0.001710963291984"
"     -728.643216080401999" "     -989.949748743718601" "        0.001742299560944"
"     -718.592964824120600" "     -989.949748743718601" "        0.001774196865623"
"     -708.542713567839201" "     -989.949748743718601" "        0.001806659465185"
"     -698.492462311557802" "     -989.949748743718601" "        0.001839691167101"
"     -688.442211055276402" "     -989.949748743718601" "        0.001873295287179"
"     -678.391959798995003" "     -989.949748743718601" "        0.001907474607672"
"     -668.341708542713604" "     -989.949748743718601" "        0.001942231333418"
"     -658.291457286432205" "     -989.949748743718601" "        0.001977567046032"
"     -648.241206030150806" "     -989.949748743718601" "        0.002013482656125"
"     -638.190954773869294" "     -989.949748743718601" "        0.002049978353586"
"     -628.140703517587895" "     -989.949748743718601" "        0.002087053555943"
"     -618.090452261306496" "     -989.949748743718601" "        0.002124706854844"
"     -608.040201005025096" "     -989.949748743718601" "        0.002162935960721"
"     -597.989949748743697" "     -989.949748743718601" "        0.002201737645704"
"     -587.939698492462298" "     -989.949748743718601" "        0.002241107684884"
"     -577.889447236180786" "     -989.949748743718601" "        0.002281040796042"
"     -567.839195979899387" "     -989.949748743718601" "        0.002321530577966"
"     -557.788944723617988" "     -989.949748743718601" "        0.002362569447539"
"     -547.738693467336589" "     -989.949748743718601" "        0.002404148575759"
"     -537.688442211055190" "     -989.949748743718601" "        0.002446257822936"
"     -527.638190954773791" "     -989.949748743718601" "        0.002488885673271"
"     -517.587939698492391" "     -989.949748743718601" "        0.002532019169132"
"     -507.537688442210992" "     -989.949748743718601" "        0.002575643845294"
"     -497.487437185929593" "     -989.949748743718601" "        0.002619743663514"
"     -487.437185929648194" "     -989.949748743718601" "        0.002664300947794"
"     -477.386934673366795" "     -989.949748743718601" "        0.002709296320745"
"     -467.336683417085396" "     -989.949748743718601" "        0.002754708641506"
"     -457.286432160803997" "     -989.949748743718601" "        0.002800514945685"
"     -447.236180904522598" "     -989.949748743718601" "        0.002846690387845"
"     -437.185929648241199" "     -989.949748743718601" "        0.002893208187085"
"     -427.135678391959800" "     -989.949748743718601" "        0.002940039576304"
"     -417.085427135678287" "     -989.949748743718601" "        0.002987153755759"
"     -407.035175879396888" "     -989.949748743718601" "        0.003034517851574"
"     -396.984924623115489" "     -989.949748743718601" "        0.003082096879869"
"     -386.934673366834090" "     -989.949748743718601" "        0.003129853717210"
"     -376.884422110552691" "     -989.949748743718601" "        0.003177749078102"
"     -366.834170854271292" "     -989.949748743718601" "        0.003225741500257"
"     -356.783919597989893" "     -989.949748743718601" "        0.003273787338373"
"     -346.733668341708494" "     -989.949748743718601" "        0.003321840767182"
"     -336.683417085427095" "     -989.949748743718601" "        0.003369853794492"
"     -326.633165829145696" "     -989.949748743718601" "        0.003417776284960"
"     -316.582914572864297" "     -989.949748743718601" "        0.003465555995280"
"     -306.532663316582898" "     -989.949748743718601" "        0.003513138621485"
"     -296.482412060301499" "     -989.949748743718601" "        0.003560467858956"
"     -286.432160804019986" "     -989.949748743718601" "        0.003607485475738"
"     -276.381909547738587" "     -989.949748743718601" "        0.003654131399650"
"     -266.331658291457188" "     -989.949748743718601" "        0.003700343819635"
"     -256.281407035175789" "     -989.949748743718601" "        0.003746059301674"
"     -246.231155778894390" "     -989.949748743718601" "        0.003791212919517"
"     -236.180904522612991" "     -989.949748743718601" "        0.003835738400348"
"     -226.130653266331592" "     -989.949748743718601" "        0.003879568285390"
"     -216.080402010050193" "     -989.949748743718601" "        0.003922634105314"
"     -206.030150753768794" "     -989.949748743718601" "        0.003964866570177"
"     -195.979899497487395" "     -989.949748743718601" "        0.004006195773456"
"     -185.929648241205996" "     -989.949748743718601" "        0.004046551409593"
"     -175.879396984924597" "     -989.949748743718601" "        0.004085863004290"
"     -165.829145728643198" "     -989.949748743718601" "        0.004124060156636"
"     -155.778894472361685" "     -989.949748743718601" "        0.004161072791967"
"     -145.728643216080286" "     -989.949748743718601" "        0.004196831424211"
"     -135.678391959798887" "     -989.949748743718601" "        0.004231267426285"
"     -125.628140703517488" "     -989.949748743718601" "        0.004264313306966"
"     -115.577889447236089" "     -989.949748743718601" "        0.004295902992519"
"     -105.527638190954690" "     -989.949748743718601" "        0.004325972111202"
"      -95.477386934673291" "     -989.949748743718601" "        0.004354458278697"
"      -85.427135678391892" "     -989.949748743718601" "        0.004381301382360"
"      -75.376884422110493" "     -989.949748743718601" "        0.004406443862146"
"      -65.326633165829094" "     -989.949748743718601" "        0.004429830985993"
"      -55.276381909547695" "     -989.949748743718601" "        0.004451411117406"
"      -45.226130653266296" "     -989.949748743718601" "        0.004471135973006"
"      -35.175879396984783" "     -989.949748743718601" "        0.004488960867804"
"      -25.125628140703384" "     -989.949748743718601" "        0.004504844946025"
"      -15.075376884421985" "     -989.949748743718601" "        0.004518751395393"
"       -5.025125628140586" "     -989.949748743718601" "        0.004530647642901"
"        5.025125628140813" "     -989.949748743718601" "        0.004540505530200"
"       15.075376884422212" "     -989.949748743718601" "        0.004548301466962"
"       25.125628140703611" "     -989.949748743718601" "        0.004554016560697"
"       35.175879396985010" "     -989.949748743718601" "        0.004557636721784"
"       45.226130653266409" "     -989.949748743718601" "        0.004559152742647"
"       55.276381909547808" "     -989.949748743718601" "        0.004558560350304"
"       65.326633165829207" "     -989.949748743718601" "        0.004555860231748"
"       75.376884422110606" "     -989.949748743718601" "        0.004551058031904"
"       85.427135678392006" "     -989.949748743718601" "        0.004544164324173"
"       95.477386934673405" "     -989.949748743718601" "        0.004535194553853"
"      105.527638190954804" "     -989.949748743718601" "        0.004524168954982"
"      115.577889447236203" "     -989.949748743718601" "        0.004511112441428"
"      125.628140703517602" "     -989.949748743718601" "        0.004496054473291"
"      135.678391959799001" "     -989.949748743718601" "        0.004479028899900"
"      145.728643216080400" "     -989.949748743718601" "        0.004460073780926"
"      155.778894472361799" "     -989.949748743718601" "        0.004439231187293"
"      165.829145728643425" "     -989.949748743718601" "        0.004416546983760"
"      175.879396984924824" "     -989.949748743718601" "        0.004392070595161"
"      185.929648241206223" "     -989.949748743718601" "        0.004365854758418"
"      195.979899497487622" "     -989.949748743718601" "        0.004337955262499"
"      206.030150753769021" "     -989.949748743718601" "        0.004308430678581"
"      216.080402010050420" "     -989.949748743718601" "        0.004277342082645"
"      226.130653266331819" "     -989.949748743718601" "        0.004244752772790"
"      236.180904522613218" "     -989.949748743718601" "        0.004210727983447"
"      246.231155778894617" "     -989.949748743718601" "        0.004175334598684"
"      256.281407035176017" "     -989.949748743718601" "        0.004138640866663"
"      266.331658291457416" "     -989.949748743718601" "        0.004100716117225"
"      276.381909547738815" "     -989.949748743718601" "        0.004061630484462"
"      286.432160804020214" "     -989.949748743718601" "        0.004021454636002"
"      296.482412060301613" "     -989.949748743718601" "        0.003980259510558"
"      306.532663316583012" "     -989.949748743718601" "        0.003938116065175"
"      316.582914572864411" "     -989.949748743718601" "        0.003895095033420"
"      326.633165829145810" "     -989.949748743718601" "        0.003851266695582"
"      336.683417085427209" "     -989.949748743718601" "        0.003806700661814"
"      346.733668341708608" "     -989.949748743718601" "        0.003761465668941"
"      356.783919597990007" "     -989.949748743718601" "        0.003715629391526"
"      366.834170854271406" "     -989.949748743718601" "        0.003669258267602"
"      376.884422110552805" "     -989.949748743718601" "        0.003622417339338"
"      386.934673366834204" "     -989.949748743718601" "        0.003575170108760"
"      396.984924623115603" "     -989.949748743718601" "        0.003527578408511"
"      407.035175879397002" "     -989.949748743718601" "        0.003479702287514"
"      417.085427135678628" "     -989.949748743718601" "        0.003431599911281"
"      427.135678391960028" "     -989.949748743718601" "        0.003383327476526"
"      437.185929648241427" "     -989.949748743718601" "        0.003334939139629"
"      447.236180904522826" "     -989.949748743718601" "        0.003286486958452"
"      457.286432160804225" "     -989.949748743718601" "        0.003238020846894"
"      467.336683417085624" "     -989.949748743718601" "        0.003189588541587"
"      477.386934673367023" "     -989.949748743718601" "        0.003141235580020"
"      487.437185929648422" "     -989.949748743718601" "        0.003093005289400"
"      497.487437185929821" "     -989.949748743718601" "        0.003044938785517"
"      507.537688442211220" "     -989.949748743718601" "        0.002997074980847"
"      517.587939698492619" "     -989.949748743718601" "        0.002949450601177"
"      527.638190954774018" "     -989.949748743718601" "        0.002902100209963"
"      537.688442211055417" "     -989.949748743718601" "        0.002855056239716"
"      547.738693467336816" "     -989.949748743718601" "        0.002808349029673"
"      557.788944723618215" "     -989.949748743718601" "        0.002762006869049"
"      567.839195979899614" "     -989.949748743718601" "        0.002716056045204"
"      577.889447236181013" "     -989.949748743718601" "        0.002670520896053"
"      587.939698492462412" "     -989.949748743718601" "        0.002625423866124"
"      597.989949748743811" "     -989.949748743718601" "        0.002580785565640"
"      608.040201005025210" "     -989.949748743718601" "        0.002536624832116"
"      618.090452261306609" "     -989.949748743718601" "        0.002492958793905"
"      628.140703517588008" "     -989.949748743718601" "        0.002449802935259"
"      638.190954773869407" "     -989.949748743718601" "        0.002407171162413"
"      648.241206030150806" "     -989.949748743718601" "        0.002365075870325"
"      658.291457286432205" "     -989.949748743718601" "        0.002323528009665"
"      668.341708542713604" "     -989.949748743718601" "        0.002282537153729"
"      678.391959798995231" "     -989.949748743718601" "        0.002242111564976"
"      688.442211055276630" "     -989.949748743718601" "        0.002202258260902"
"      698.492462311558029" "     -989.949748743718601" "        0.002162983079016"
"      708.542713567839428" "     -989.949748743718601" "        0.002124290740705"
"      718.592964824120827" "     -989.949748743718601" "        0.002086184913794"
"      728.643216080402226" "     -989.949748743718601" "        0.002048668273659"
"      738.693467336683625" "     -989.949748743718601" "        0.002011742562727"
"      748.743718592965024" "     -989.949748743718601" "        0.001975408648291"
"      758.793969849246423" "     -989.949748743718601" "        0.001939666578504"
"      768.844221105527822" "     -989.949748743718601" "        0.001904515636515"
"      778.894472361809221" "     -989.949748743718601" "        0.001869954392669"
"      788.944723618090620" "     -989.949748743718601" "        0.001835980754739"
"      798.994974874372019" "     -989.949748743718601" "        0.001802592016170"
"      809.045226130653418" "     -989.949748743718601" "        0.001769784902307"
"      819.095477386934817" "     -989.949748743718601" "        0.001737555614632"
"      829.145728643216216" "     -989.949748743718601" "        0.001705899872985"
"      839.195979899497615" "     -989.949748743718601" "        0.001674812955822"
"      849.246231155779014" "     -989.949748743718601" "        0.001644289738517"
"      859.296482412060413" "     -989.949748743718601" "        0.001614324729738"
"      869.346733668341813" "     -989.949748743718601" "        0.001584912105958"
"      879.396984924623212" "     -989.949748743718601" "        0.001556045744120"
"      889.447236180904611" "     -989.949748743718601" "        0.001527719252518"
"      899.497487437186010" "     -989.949748743718601" "        0.001499925999949"
"      909.547738693467409" "     -989.949748743718601" "        0.001472659143175"
"      919.597989949748808" "     -989.949748743718601" "        0.001445911652773"
"      929.648241206030434" "     -989.949748743718601" "        0.001419676337415"
"      939.698492462311833" "     -989.949748743718601" "        0.001393945866633"
"      949.748743718593232" "     -989.949748743718601" "        0.001368712792157"
"      959.798994974874631" "     -989.949748743718601" "        0.001343969567848"
"      969.849246231156030" "     -989.949748743718601" "        0.001319708568314"
"      979.899497487437429" "     -989.949748743718601" "        0.001295922106260"
"      989.949748743718828" "     -989.949748743718601" "        0.001272602448623"
"     1000.000000000000000" "     -989.949748743718601" "        0.001249741831560"
"    -1000.000000000000000" "     -979.899497487437202" "        0.001087876162708"
"     -989.949748743718601" "     -979.899497487437202" "        0.001107343521158"
"     -979.899497487437202" "     -979.899497487437202" "        0.001127208000494"
"     -969.849246231155803" "     -979.899497487437202" "        0.001147477351267"
"     -959.798994974874404" "     -979.899497487437202" "        0.001168159396438"
"     -949.748743718593005" "     -979.899497487437202" "        0.001189262025015"
"     -939.698492462311606" "     -979.899497487437202" "        0.001210793185005"
"     -929.648241206030207" "     -979.899497487437202" "        0.001232760875661"
"     -919.597989949748694" "     -979.899497487437202" "        0.001255173138963"
"     -909.547738693467295" "     -979.899497487437202" "        0.001278038050283"
"     -899.497487437185896" "     -979.899497487437202" "        0.001301363708193"
"     -889.447236180904497" "     -979.899497487437202" "        0.001325158223365"
"     -879.396984924623098" "     -979.899497487437202" "        0.001349429706497"
"     -869.346733668341699" "     -979.899497487437202" "        0.001374186255218"
"     -859.296482412060300" "     -979.899497487437202" "        0.001399435939918"
"     -849.246231155778901" "     -979.899497487437202" "        0.001425186788431"
"     -839.195979899497502" "     -979.899497487437202" "        0.001451446769526"
"     -829.145728643216103" "     -979.899497487437202" "        0.001478223775127"
"     -819.095477386934590" "     -979.899497487437202" "        0.001505525601211"
"     -809.045226130653191" "     -979.899497487437202" "        0.001533359927313"
"     -798.994974874371792" "     -979.899497487437202" "        0.001561734294577"
"     -788.944723618090393" "     -979.899497487437202" "        0.001590656082277"
